i,t,m,age,sex,HH_size
84470,2015,USA,23,Male,1
84471,2015,USA,74,Female,5
84472,2015,USA,2,Male,4
84473,2015,USA,22,Female,3
84474,2015,USA,3,Male,4
84475,2015,USA,25,Male,3
84476,2015,USA,16,Female,7
84477,2015,USA,16,Male,4
84478,2015,USA,6,Male,4
84479,2015,USA,55,Female,2
84480,2015,USA,79,Female,2
84481,2015,USA,72,Male,2
84482,2015,USA,58,Female,1
84483,2015,USA,4,Male,4
84484,2015,USA,6,Female,3
84485,2015,USA,24,Female,5
84486,2015,USA,5.40E-79,Female,4
84487,2015,USA,24,Female,5
84488,2015,USA,54,Male,1
84489,2015,USA,5.40E-79,Female,3
84490,2015,USA,28,Female,5
84491,2015,USA,6,Female,7
84492,2015,USA,37,Male,5
84493,2015,USA,44,Female,3
84494,2015,USA,22,Female,4
84495,2015,USA,53,Female,2
84496,2015,USA,51,Male,2
84497,2015,USA,2,Female,5
84498,2015,USA,57,Female,2
84499,2015,USA,56,Male,5
84500,2015,USA,54,Female,5
84501,2015,USA,7,Female,4
84502,2015,USA,56,Male,6
84503,2015,USA,55,Male,2
84504,2015,USA,5.40E-79,Female,6
84505,2015,USA,23,Female,2
84506,2015,USA,5.40E-79,Female,4
84507,2015,USA,1,Female,5
84508,2015,USA,2,Male,4
84509,2015,USA,13,Female,3
84510,2015,USA,11,Male,7
84511,2015,USA,78,Female,1
84512,2015,USA,9,Male,7
84513,2015,USA,65,Female,1
84514,2015,USA,41,Male,7
84515,2015,USA,10,Female,6
84516,2015,USA,5.40E-79,Female,6
84517,2015,USA,80,Female,3
84518,2015,USA,11,Male,6
84519,2015,USA,2,Female,4
84520,2015,USA,1,Male,4
84521,2015,USA,1,Female,4
84522,2015,USA,19,Female,6
84523,2015,USA,5.40E-79,Male,3
84524,2015,USA,16,Female,4
84525,2015,USA,44,Male,5
84526,2015,USA,1,Female,5
84527,2015,USA,1,Female,4
84528,2015,USA,5,Female,7
84529,2015,USA,60,Female,1
84530,2015,USA,80,Male,1
84531,2015,USA,2,Male,4
84532,2015,USA,23,Female,3
84533,2015,USA,11,Female,5
84534,2015,USA,62,Female,6
84535,2015,USA,21,Female,4
84536,2015,USA,31,Male,1
84537,2015,USA,34,Male,2
84538,2015,USA,2,Male,5
84539,2015,USA,25,Female,5
84540,2015,USA,18,Female,2
84541,2015,USA,6,Female,3
