i,t,m,Energy,Protein,Fiber,Folate,Calcium,Carbohydrate,Iron,Niacin,Riboflavin,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Zinc,Magnesium,Phosphorus,Potassium,Vitamin E,Vitamin K
2123000808,2011-12,Eastern,3.8781365915448758,9.350487596900487,4.521865215839865,5.567510138557609,1.0258477687394132,5.817520258937378,4.227578984119475,5.385988598483322,4.259229112320697,5.437711791447891,1.8167353808908355,8.463761421450132,9.345407339445066,10.95376938376304,3.4065397337375636,0.0008473191772693727,0.00012673054168696544,0.0004993489512512882,0.0,0.0
2123000809,2011-12,Eastern,2.6405525920190134,4.545480132144972,3.0526844018236674,3.2622830925127446,1.0326536958448629,6.104560815161006,3.5478202788432363,3.516242764408194,2.5891512143997253,3.596881558350966,1.1112022142477942,4.89703802163378,5.876921322604527,4.123009822693085,2.0545792671941885,0.0004196814385921288,0.0001425333187671381,0.000483581271760524,0.0,0.0
212300080905,2011-12,Eastern,1.6939099513297666,2.9787553447135244,2.125152653613659,2.1653093642495342,0.5389791176057516,4.023011097039923,1.8783022790458046,2.215774639715854,1.6867292310929602,2.3724447353582914,0.849444612832715,2.7945994725382235,3.605011476426882,2.6390362818535102,1.4515145682892658,0.00030396724568566527,8.559832343129348e-05,0.00029383297889521196,0.0,0.0
2123000810,2011-12,Eastern,1.725332886336519,4.603587991409078,2.0910818003795386,2.700765347240388,0.4866030696957021,2.704846813120467,1.722333625884631,2.4545417459634167,1.9135611355581184,2.778233884584757,1.0061701127906912,3.5256341937309252,4.92867472335345,5.471499106249439,1.7559239759597662,0.0002781828803027923,4.491099634316197e-05,0.00015058086278421073,0.0,0.0
2123000902,2011-12,Eastern,1.3043083268948674,2.7304716422282684,1.6291173485817068,2.0840624692719043,0.45116188138808483,2.7427125516437982,1.8758872928769823,1.8485304091316614,1.4491051031197548,2.05460712865145,0.7102408652182565,2.6316265466590183,3.3972927394793917,2.6246811788650133,1.1682530618766522,0.00017383263940878437,4.388843866261387e-05,0.00015126737405382612,0.0,0.0
2123000904,2011-12,Eastern,2.4135506849988295,4.1256211884382,3.1167533853692677,3.3099452107849667,0.8097429095860735,5.3727547996062635,2.5246421254216522,3.0068833981347685,2.372771408031096,3.6166725261548227,1.0761724303716929,3.5474394001920038,5.415035159579406,4.730992155064625,2.031629630942618,0.00045002003141322947,0.0001365578026357386,0.0004024051549192708,0.0,0.0
2123000905,2011-12,Eastern,2.2251772081861723,4.785339201085539,2.6624218061461997,2.9258173811583643,0.6195362429766494,3.953353914498685,2.5197260454421926,3.009889132025847,2.243485965850477,3.217304910488053,1.0997332840804837,3.93797823367635,5.118202170453754,4.052780433131666,2.081830524051161,0.000357865849909226,7.286623994733753e-05,0.0002527809774957092,0.0,0.0
2123000906,2011-12,Eastern,1.9313264711144102,3.690874785607877,2.4278847416770932,2.8560600268613623,0.6550644908763547,4.211287720483761,2.7262880891062418,2.578815005563423,2.0138750244631765,2.9064088738286573,1.0044260660464661,3.3831036795583955,4.61532131950834,3.5758154508672253,1.6915870445159795,0.00024887158897077846,6.951240933321742e-05,0.00021824129612812228,0.0,0.0
2123000909,2011-12,Eastern,1.6716051644210699,3.5620823768010497,2.0123656434157784,2.275171205759537,0.47416547093393885,3.0423946916793008,1.8074173864654328,2.1834696735854964,1.6979763601160427,2.5017203901247687,0.8593538370993294,2.8892282395410276,3.986279554315549,3.240390348595784,1.5413148526107372,0.00022457645409485643,4.672063157185396e-05,0.00015982730873414684,0.0,0.0
2123000910,2011-12,Eastern,5.302644361880275,10.57134353635172,6.456362924397046,7.279776534914929,1.594859162207556,10.044768236426675,6.5891188555118765,7.317521694111481,5.388728169066002,7.419982741898606,2.1661087497432474,9.773864689955724,12.229553180169384,10.530454616965182,4.565794924190446,0.0006212426069624643,0.00015573616037552188,0.00047840921690900547,0.0,0.0
212300091004,2011-12,Central,1.8752134343419389,4.086644656172417,2.222423862121152,2.055803399196033,0.36242709800556305,3.7921964355792888,1.4368005677393443,2.5558566020563744,1.7444774820680735,2.4573325992827018,0.883959198994228,3.6391519897591738,4.509520346633895,2.7224818613618598,1.5722751227784793,0.0002823566859963154,6.539879124179364e-05,0.000216728763723167,0.0,0.0
